Delay time,Estimated Surface (sq m),Estimated Height (m),Floors,Num of Workers,Bad Weather Factor (%),Design Variation Factor (%),Material Factor (%),Gov Regulation Factor (%),Site Condition Factor (%)
127,794,24,1,60,0.32,0.24,0.01,0.56,0.3
141,2986,9,6,55,0.32,0.24,0.03,0.85,0.32
4,664,25,5,141,0.32,0.52,0.03,0.82,0.08
143,2162,19,6,123,0.32,0.32,0.02,0.32,0.32
128,2026,20,4,128,0.32,0.48,0.02,0.36,0.3
130,2970,8,1,77,0.32,0.16,0.04,0.79,0.56
16,2006,10,3,67,0.32,0.16,0.02,0.44,0.12
137,830,5,1,75,0.32,0.16,0.01,0.93,0.6
128,2267,21,4,141,0.32,0.24,0.01,0.22,0.3
130,505,16,4,117,0.32,0.16,0.0,0.53,0.3
97,383,21,2,50,0.32,0.24,0.05,0.14,0.25
125,2036,29,3,61,0.32,0.32,0.01,0.87,0.05
122,2915,11,2,127,0.32,0.16,0.01,0.74,0.29
130,997,8,6,93,0.32,0.16,-0.0,0.25,0.3
142,2433,19,3,13,0.32,0.24,0.02,0.68,0.32
148,1199,9,1,34,0.32,0.24,0.02,0.47,0.33
3,1783,15,2,107,0.32,0.32,0.04,0.75,0.9
3,1536,25,5,78,0.32,0.16,0.03,0.11,0.1
16,804,30,6,17,0.32,0.24,0.06,0.1,0.12
141,529,23,5,102,0.32,0.16,0.01,0.91,0.32
139,1148,21,6,124,0.32,0.48,-0.0,0.86,0.31
35,451,24,5,99,0.32,0.24,0.05,0.34,0.15
12,398,12,5,53,0.32,0.16,0.05,0.28,0.94
45,2731,11,6,25,0.32,0.24,0.09,0.03,0.49
120,1830,8,2,132,0.32,0.76,0.01,0.84,0.05
45,1586,17,2,89,0.32,0.4,0.07,0.96,0.17
146,332,24,2,36,0.32,0.16,0.01,0.09,0.32
33,2042,23,3,117,0.32,0.32,0.08,0.08,0.59
23,21,9,4,139,0.32,0.16,0.07,0.27,0.14
138,2078,23,2,97,0.32,0.48,0.01,0.97,0.39
140,2955,20,5,97,0.32,0.24,0.01,0.67,0.32
12,2512,18,4,44,0.32,0.16,0.03,0.31,0.12
1,2710,8,4,146,0.32,0.32,0.05,0.95,0.85
130,766,9,5,52,0.32,0.24,0.01,0.22,0.3
41,1981,20,4,77,0.32,0.24,0.1,0.43,0.16
130,967,20,4,34,0.32,0.24,0.01,0.82,0.3
117,1422,28,5,109,0.32,0.08,0.01,0.71,0.28
119,1618,18,3,67,0.32,0.16,-0.01,0.58,0.28
136,788,23,6,115,0.32,0.16,0.02,0.08,0.31
146,2934,27,4,119,0.32,0.24,0.02,0.7,0.64
2,1957,16,4,126,0.32,0.16,0.03,0.37,0.15
49,888,19,2,88,0.32,0.24,0.09,0.44,0.18
5,1926,19,6,76,0.32,0.16,0.05,0.54,0.11
12,1817,16,2,87,0.32,0.32,0.04,0.26,0.28
139,1277,30,6,78,0.32,0.32,0.02,0.3,0.31
128,2885,12,1,38,0.32,0.24,0.0,0.95,0.3
134,1601,14,6,27,0.32,0.16,0.02,0.47,0.31
36,879,26,3,46,0.32,0.4,-0.14,0.97,0.16
6,1860,19,2,131,0.32,0.32,0.06,0.61,0.11
140,2591,10,6,83,0.32,0.24,0.02,0.75,0.32
133,2982,6,4,28,0.32,0.24,0.02,0.8,0.3
122,1762,8,3,66,0.32,0.24,0.2,0.26,0.29
5,1885,15,1,109,0.32,0.16,0.05,0.84,0.11
139,1292,16,3,63,0.32,0.16,0.0,0.4,0.31
8,2586,6,1,74,0.32,0.08,0.04,0.15,0.65
132,1950,5,2,140,0.32,0.48,0.02,0.95,0.3
142,1701,7,6,30,0.32,0.4,0.01,0.14,0.32
74,1705,22,2,84,0.32,0.16,0.14,0.99,0.21
8,315,5,2,16,0.32,0.16,0.01,0.53,0.11
148,563,6,4,76,0.32,0.16,0.02,0.19,0.1
133,1995,9,1,13,0.32,0.52,0.05,0.47,0.3
37,1031,12,3,119,0.32,0.24,0.08,0.76,0.16
19,1681,17,4,31,0.32,0.16,0.04,0.14,0.13
149,2369,17,2,40,0.32,0.16,0.0,0.41,0.33
11,2042,10,3,96,0.32,0.16,0.03,0.71,0.12
29,47,10,4,138,0.32,0.32,0.06,0.14,0.14
140,654,6,2,38,0.32,0.32,0.0,0.83,0.32
14,1338,29,3,49,0.32,0.16,0.06,0.44,0.12
9,488,6,1,138,0.32,0.16,0.03,0.86,0.11
142,2437,11,5,112,0.32,0.08,0.01,0.68,0.32
145,511,29,2,62,0.32,0.48,0.02,0.05,0.32
130,2849,29,4,114,0.32,0.32,0.03,0.82,0.45
24,660,18,1,85,0.32,0.24,0.06,0.83,0.14
146,152,29,5,143,0.32,0.4,0.04,0.36,0.32
140,141,25,5,38,0.32,0.16,0.02,0.96,0.47
14,1056,18,5,12,0.32,0.4,0.05,0.14,0.12
161,293,28,3,52,0.32,0.32,0.27,0.79,0.35
38,2736,11,6,31,0.32,0.24,0.09,0.48,0.16
2,1622,29,5,48,0.32,0.32,0.03,0.88,0.1
16,1542,24,4,33,0.32,0.4,0.06,0.2,0.6
48,2929,27,5,58,0.32,0.24,0.06,0.14,0.01
72,2429,18,1,113,0.32,0.4,0.11,0.41,0.99
148,805,23,2,55,0.32,0.08,0.03,1.0,0.33
16,1576,20,5,113,0.32,0.16,0.04,0.42,0.12
17,221,18,2,140,0.32,0.32,0.04,0.48,0.13
128,504,29,3,58,0.32,0.32,-0.0,0.4,0.3
70,266,29,6,134,0.32,0.24,0.11,0.25,0.21
10,1362,9,6,80,0.32,0.24,0.04,0.07,0.12
146,1031,17,4,46,0.32,0.16,0.01,0.72,0.32
5,396,25,3,114,0.32,0.08,0.03,0.63,0.11
136,2069,26,1,73,0.32,0.4,0.0,0.15,0.31
14,346,5,6,56,0.32,0.48,0.03,0.01,0.12
21,2625,25,3,32,0.32,0.24,0.05,0.02,0.41
21,829,30,6,53,0.32,0.4,0.05,0.59,0.13
24,2014,18,5,28,0.32,0.4,0.04,0.37,0.14
11,1038,25,5,42,0.32,0.08,0.01,0.69,0.12
41,2079,30,4,82,0.32,0.32,0.06,0.16,0.16
135,989,25,6,32,0.32,0.24,0.0,0.77,0.31
20,1178,5,5,150,0.32,0.32,0.07,0.59,0.13
28,468,6,1,60,0.32,0.16,0.06,0.62,0.14
6,2325,28,3,29,0.32,0.24,0.05,0.39,0.11
39,2346,25,5,94,0.32,0.24,0.06,0.43,0.16
17,1119,10,5,92,0.32,0.16,0.05,0.95,0.13
126,2640,27,4,115,0.32,0.16,0.02,0.29,0.3
20,334,25,2,103,0.32,0.24,0.04,0.64,0.13
149,2081,22,4,102,0.32,0.32,0.01,0.7,0.33
21,1457,24,6,135,0.32,0.24,0.05,0.93,0.13
22,1298,16,5,88,0.32,0.16,0.05,0.19,0.13
13,2769,19,4,77,0.32,0.16,0.06,0.06,0.12
137,616,9,1,91,0.32,0.32,0.02,0.58,0.31
149,175,18,5,79,0.32,0.24,0.01,0.12,0.34
111,356,25,5,101,0.32,0.08,-0.0,0.16,0.27
85,1280,27,3,48,0.32,0.4,0.15,0.68,0.23
23,2002,12,6,41,0.32,0.32,0.07,0.59,0.14
4,1896,11,5,63,0.32,0.16,0.05,0.76,0.11
118,1024,25,2,50,0.32,0.24,0.01,0.91,0.28
146,1476,25,6,125,0.32,0.32,0.03,0.4,0.32
145,696,7,2,106,0.32,0.24,0.03,0.87,0.32
17,2359,17,1,149,0.32,0.32,0.06,0.62,0.13
17,1097,24,6,104,0.32,0.16,0.07,0.36,0.13
10,193,15,5,88,0.32,0.24,0.05,0.18,0.12
24,515,16,3,32,0.32,0.16,0.07,0.7,0.14
144,198,17,5,94,0.32,0.24,0.03,0.72,0.32
144,72,11,2,63,0.32,0.16,0.03,0.62,0.32
20,1558,25,6,122,0.32,0.24,0.07,0.81,0.13
142,2089,8,3,92,0.32,0.24,0.03,0.81,0.32
40,531,16,3,112,0.32,0.24,0.1,0.82,0.16
148,2762,6,4,42,0.32,0.32,0.04,0.26,0.33
130,2093,28,6,59,0.32,0.32,0.02,0.81,0.3
139,713,10,4,10,0.32,0.32,0.02,0.41,0.31
147,475,25,4,24,0.32,0.24,0.02,0.14,0.54
132,2811,19,2,59,0.32,0.16,0.02,0.66,0.3
118,687,11,3,44,0.32,0.16,-0.0,0.43,0.08
51,39,13,4,73,0.32,0.32,0.02,0.52,0.18
120,1613,6,5,118,0.32,0.24,0.0,0.85,0.28
110,933,7,6,102,0.32,0.24,-0.0,0.27,0.27
137,2437,20,5,98,0.32,0.24,0.03,0.95,0.31
144,2679,12,6,17,0.32,0.88,0.02,0.09,0.32
21,2508,27,1,126,0.32,0.16,0.07,0.78,0.13
11,1276,9,2,87,0.32,0.48,0.05,0.05,0.12
133,1610,15,4,83,0.32,0.24,-0.02,0.57,0.3
16,425,16,2,50,0.32,0.32,0.06,0.08,0.12
14,2595,27,5,46,0.32,0.24,0.02,0.29,0.12
140,2376,7,6,27,0.32,0.32,0.01,0.83,0.32
26,2382,22,2,58,0.32,0.32,0.07,0.83,0.14
133,1363,20,1,139,0.32,0.24,0.02,0.39,0.3
137,947,5,4,40,0.32,0.52,0.01,0.97,0.31
91,1916,12,2,94,0.32,0.16,0.17,0.11,0.29
117,2845,12,3,83,0.32,0.24,0.02,0.4,0.28
38,2200,19,3,18,0.32,0.08,0.08,0.47,0.16
26,509,8,1,20,0.32,0.16,0.04,0.82,0.14
58,223,8,1,95,0.32,0.08,0.1,0.15,0.97
63,859,19,2,134,0.32,0.24,0.12,0.59,0.2
147,678,6,3,62,0.32,0.24,0.02,0.68,0.33
24,2297,17,2,119,0.32,0.32,0.05,0.42,0.14
40,2375,16,2,107,0.32,0.16,0.07,0.12,0.73
10,2251,11,4,82,0.32,0.16,0.04,0.43,0.41
6,1829,8,1,119,0.32,0.24,0.03,0.36,0.11
67,1250,6,5,150,0.32,0.32,0.13,0.21,0.2
23,2919,18,6,34,0.32,0.52,0.06,0.89,0.14
73,1890,5,6,19,0.32,0.16,0.11,0.67,0.45
142,624,30,2,82,0.32,0.48,0.05,0.26,0.32
124,503,26,3,122,0.32,0.68,-0.0,0.08,0.29
139,239,25,4,95,0.32,0.24,0.03,0.95,0.31
39,219,17,2,58,0.32,0.16,0.07,0.16,0.16
37,2791,24,1,74,0.32,0.16,0.08,0.8,0.13
4,459,20,4,111,0.32,0.48,0.04,0.89,0.11
46,876,8,3,52,0.32,0.4,0.07,0.97,0.19
18,2768,9,5,138,0.32,0.32,0.05,0.54,0.13
40,1269,17,3,81,0.32,0.32,0.08,0.12,0.16
115,692,6,3,72,0.32,0.24,0.0,0.22,0.28
121,2982,20,4,134,0.32,0.16,-0.0,0.7,0.96
1,233,6,2,119,0.32,0.76,0.03,0.06,0.1
1,1638,30,1,53,0.32,0.24,0.02,0.59,0.1
16,1386,26,4,144,0.32,0.24,0.06,0.69,0.68
43,1937,30,1,112,0.32,0.32,0.17,0.94,0.17
12,2494,23,3,19,0.32,0.32,0.03,0.61,0.12
15,878,11,3,42,0.32,0.32,0.05,0.23,0.13
125,715,14,1,114,0.32,0.32,0.02,0.07,0.29
12,2639,21,6,146,0.32,0.24,0.04,0.31,0.12
139,1678,19,4,76,0.32,0.24,0.01,0.62,0.31
117,1352,20,5,111,0.32,0.24,-0.0,0.12,0.28
127,2494,5,3,107,0.32,0.16,-0.0,0.04,0.3
1,2779,28,2,126,0.32,0.32,0.03,0.99,0.1
0,2441,22,6,53,0.32,0.16,0.03,0.45,0.3
22,2348,22,5,73,0.32,0.4,0.05,0.83,0.13
135,1610,17,6,93,0.32,0.68,0.02,0.02,0.31
4,2128,6,5,27,0.32,0.16,0.03,0.75,0.7
26,1200,18,2,45,0.32,0.24,0.08,0.62,0.72
126,1700,29,4,30,0.32,0.32,0.03,0.26,0.29
136,2095,7,6,72,0.32,0.4,0.02,0.11,0.31
9,1841,13,4,134,0.32,0.16,0.05,0.64,0.11
135,1035,28,2,12,0.32,0.24,0.03,0.42,0.31
120,891,27,2,50,0.32,0.24,0.0,0.46,0.6
119,2229,14,4,125,0.32,0.24,0.01,0.65,0.28
8,1530,11,5,47,0.32,0.16,0.05,0.56,0.99
111,2172,29,5,98,0.32,0.16,0.14,0.76,0.27
127,1706,7,5,136,0.32,0.24,0.02,0.1,0.3
21,983,26,6,137,0.32,0.32,0.02,0.95,0.28
22,2700,20,1,38,0.32,0.32,0.04,0.12,0.13
0,2746,16,2,94,0.32,0.16,0.01,0.8,0.5
2,1959,6,2,117,0.32,0.16,0.0,0.22,0.1
0,49,26,2,98,0.32,0.48,0.03,0.34,0.5
138,2209,29,6,76,0.32,0.4,-0.01,0.99,0.31
4,2909,10,5,44,0.32,0.16,0.02,0.19,0.65
40,888,20,3,91,0.32,0.24,0.1,0.94,0.16
131,1867,7,5,42,0.32,0.4,0.0,0.4,0.63
38,425,12,5,114,0.32,0.24,0.07,0.65,0.58
-17,1066,28,6,82,0.32,0.16,-0.26,0.94,0.5
114,2973,17,6,145,0.32,0.48,0.02,0.37,0.51
7,304,14,1,50,0.32,0.4,0.03,0.96,0.11
9,599,28,4,53,0.32,0.24,0.01,0.72,0.11
3,2928,12,1,104,0.32,0.48,0.01,0.57,0.1
18,690,9,4,111,0.32,0.16,0.06,0.72,0.13
3,2921,22,3,116,0.32,0.16,0.03,0.26,0.1
29,628,27,6,74,0.32,0.4,0.02,0.32,0.14
104,171,24,5,145,0.32,0.16,0.01,0.13,0.64
148,2793,25,3,48,0.32,0.48,0.01,0.21,0.33
27,2082,13,5,73,0.32,0.24,0.05,0.76,0.09
130,2432,6,3,58,0.32,0.16,0.01,0.92,0.27
130,2598,22,5,141,0.32,0.24,0.02,0.1,0.61
18,2895,10,3,49,0.32,0.24,0.04,0.75,0.13
101,2091,19,4,48,0.32,0.52,0.11,0.78,0.26
39,768,28,4,60,0.32,0.32,0.07,0.35,0.63
25,587,9,6,36,0.32,0.16,0.07,0.14,0.14
23,2172,6,3,24,0.32,0.08,0.04,0.81,0.14
135,2869,23,4,45,0.32,0.52,0.02,0.34,0.31
144,307,16,2,60,0.32,0.08,0.01,0.7,0.32
2,1769,23,5,120,0.32,0.24,0.04,0.89,0.77
39,1053,17,2,77,0.32,0.16,0.05,0.63,0.16
29,593,19,1,12,0.32,0.4,0.02,0.67,0.14
131,3000,6,3,144,0.32,0.24,0.01,0.31,0.3
31,2647,28,3,11,0.32,0.16,0.05,0.2,0.15
10,1023,21,2,132,0.32,0.4,0.01,0.08,0.12
22,882,21,4,22,0.32,0.4,0.11,0.8,0.13
122,2839,23,3,76,0.32,0.24,0.01,0.86,0.29
30,1854,11,4,40,0.32,0.16,0.09,0.1,0.15
12,2572,25,5,107,0.32,0.52,0.03,0.28,0.65
73,516,19,5,49,0.32,0.32,0.13,0.27,0.21
22,194,15,5,144,0.32,0.24,0.05,0.16,0.13
42,2891,17,4,95,0.32,0.24,0.09,0.4,0.16
21,2470,11,5,29,0.32,0.16,0.05,0.09,0.13
136,2794,29,2,134,0.32,0.4,0.01,0.06,0.76
13,1944,26,5,122,0.32,0.32,0.06,0.32,0.12
143,44,5,5,143,0.32,0.24,0.01,0.16,0.32
41,1933,8,5,58,0.32,0.08,0.08,0.66,0.16
18,1130,16,4,17,0.32,0.16,0.05,0.63,0.13
29,31,26,6,121,0.32,0.52,0.07,0.78,0.99
125,732,6,2,138,0.32,0.24,0.0,0.07,1.0
33,2680,19,2,113,0.32,0.24,0.07,0.18,0.61
4,862,10,4,133,0.32,0.4,0.03,0.94,0.11
3,943,19,6,66,0.32,0.24,0.02,0.55,0.1
46,1840,15,4,102,0.32,0.16,0.09,0.02,0.09
31,1582,13,6,113,0.32,0.24,0.06,0.24,0.19
15,1074,30,2,81,0.32,0.16,0.03,0.87,0.29
3,45,26,5,96,0.32,0.08,0.02,0.56,0.54
133,985,20,1,84,0.32,0.32,0.02,0.37,0.1
5,817,27,3,127,0.32,0.24,0.02,0.28,0.11
39,775,21,5,150,0.32,0.24,0.07,0.7,0.16
4,396,12,5,31,0.32,0.24,0.03,0.2,0.11
20,235,24,2,106,0.32,0.16,0.06,0.99,0.13
125,1348,19,1,139,0.32,0.24,0.01,0.67,0.6
146,2417,19,4,89,0.32,0.48,0.03,0.58,0.32
23,1553,15,5,140,0.32,0.24,0.05,0.31,0.14
149,1579,21,5,11,0.32,0.16,0.04,0.65,0.33
122,1317,6,1,96,0.32,0.16,0.01,0.25,0.58
146,45,9,3,81,0.32,0.48,0.04,0.24,0.32
16,1673,12,3,121,0.32,0.24,0.05,0.15,0.43
24,1668,25,3,70,0.32,0.32,0.05,0.29,0.11
38,472,19,2,114,0.32,0.32,0.08,0.07,0.16
111,1770,14,6,49,0.32,0.4,0.15,0.18,0.73
1,1807,28,2,72,0.32,0.24,0.03,0.54,0.1
137,2974,23,5,129,0.32,0.08,0.02,0.89,0.31
115,430,27,3,17,0.32,0.08,0.0,0.99,0.28
50,280,18,3,136,0.32,0.24,0.11,0.84,0.18
32,98,10,1,11,0.32,0.4,0.06,0.39,0.28
20,1683,18,2,94,0.32,0.08,0.06,0.38,0.13
96,2260,21,5,116,0.32,0.24,0.17,0.36,0.25
44,738,24,1,138,0.32,0.32,0.1,0.56,0.17
147,1501,19,2,21,0.32,0.16,0.01,0.84,0.41
7,1955,11,6,86,0.32,0.32,0.08,0.22,0.35
37,1120,30,6,111,0.32,0.76,0.08,0.73,0.16
25,1517,5,5,25,0.32,0.16,0.08,0.89,0.14
128,2184,10,1,137,0.32,0.24,-0.0,0.3,0.3
118,2276,18,6,116,0.32,0.16,0.16,0.96,0.28
129,774,6,3,104,0.32,0.24,-0.11,0.66,0.3
5,1364,24,6,29,0.32,0.24,0.04,0.3,0.11
146,1784,23,5,30,0.32,0.16,0.04,0.68,0.32
146,790,30,1,41,0.32,0.16,0.02,0.88,0.32
31,1157,5,4,123,0.32,0.16,0.05,0.77,0.15
55,2801,13,4,121,0.32,0.08,0.08,0.76,0.18
5,163,30,2,80,0.32,0.24,0.05,0.36,0.67
132,354,30,5,43,0.32,0.16,0.01,0.16,0.3
81,2474,26,6,134,0.32,0.16,0.12,0.94,0.22
139,1401,6,1,87,0.32,0.24,0.03,0.65,0.31
72,1477,22,5,90,0.32,0.16,0.09,0.84,0.21
38,1475,23,6,23,0.32,0.24,0.09,0.33,0.16
142,1657,21,6,120,0.32,0.16,0.02,0.69,0.32
124,961,19,3,52,0.32,0.16,0.01,0.1,0.68
147,511,15,5,25,0.32,0.32,0.03,0.4,0.33
184,1885,29,5,15,0.32,0.16,0.29,0.56,0.38
138,2883,12,4,138,0.32,0.24,0.01,0.69,0.31
131,496,17,5,75,0.32,0.24,0.02,0.54,0.13
144,278,23,4,122,0.32,0.24,0.03,0.62,0.32
149,452,15,4,78,0.32,0.4,0.04,0.66,0.33
28,2032,28,2,128,0.32,0.4,0.06,0.23,0.14
142,492,9,2,137,0.32,0.32,0.04,0.75,0.32
46,840,17,1,33,0.32,0.24,0.1,0.92,0.15
55,1262,13,4,11,0.32,0.24,0.1,0.93,0.18
8,1344,23,2,54,0.32,0.24,0.02,0.52,0.77
129,2389,15,5,125,0.32,0.32,0.02,0.01,0.3
135,2198,8,4,21,0.32,0.16,0.01,0.19,0.31
64,2699,29,3,37,0.32,0.16,0.08,0.38,0.2
44,2578,11,1,85,0.32,0.24,0.12,0.41,0.17
32,2381,27,2,132,0.32,0.32,0.08,0.03,0.15
3,790,15,3,77,0.32,0.24,0.03,0.06,0.1
130,1718,22,3,126,0.32,0.48,0.01,0.3,0.3
173,2951,14,5,65,0.32,0.32,0.27,0.6,0.37
14,1160,11,6,50,0.32,0.08,0.04,0.61,0.12
8,829,16,1,145,0.32,0.24,0.03,0.61,0.66
146,514,5,3,44,0.32,0.32,0.03,0.66,0.12
35,252,14,3,134,0.32,0.32,0.08,0.22,0.15
136,283,11,2,127,0.32,0.16,0.02,0.94,0.31
134,1157,19,1,49,0.32,0.16,0.02,0.51,0.31
126,1783,22,6,87,0.32,0.16,0.01,0.94,0.29
19,533,30,4,130,0.32,0.24,0.04,0.35,0.13
22,2672,28,1,21,0.32,0.4,0.02,0.47,0.13
10,2009,6,2,133,0.32,0.16,0.03,0.3,0.12
18,2293,24,2,105,0.32,0.16,0.06,0.79,0.44
148,2767,18,1,137,0.32,0.4,0.02,0.03,0.33
133,2124,21,1,68,0.32,0.4,0.04,0.58,0.3
7,316,12,3,136,0.32,0.24,0.04,0.62,0.11
16,2882,13,6,91,0.32,0.24,0.03,0.38,0.41
26,2058,19,4,141,0.32,0.52,0.04,0.47,0.14
4,2045,9,6,150,0.32,0.4,0.02,0.59,0.59
20,2296,7,2,90,0.32,0.64,0.04,0.68,0.6
13,1072,24,6,116,0.32,0.16,0.02,0.74,0.43
55,835,12,3,65,0.32,0.16,0.08,0.26,0.18
142,558,10,5,30,0.32,0.24,0.03,0.9,0.45
1,401,13,4,78,0.32,0.24,0.04,0.38,0.1
37,1106,6,2,47,0.32,0.16,0.11,0.26,0.16
7,1830,10,2,32,0.32,0.24,0.04,0.9,0.11
138,2738,11,5,47,0.32,0.16,0.03,0.12,0.31
4,37,30,4,45,0.32,0.16,0.05,0.89,0.11
26,379,7,1,62,0.32,0.16,0.07,0.92,0.58
19,1317,25,1,82,0.32,0.32,0.04,0.36,0.13
1,458,9,3,81,0.32,0.16,0.04,0.75,0.1
58,489,23,3,50,0.32,0.4,0.11,0.58,0.19
147,2874,7,6,67,0.32,0.24,0.04,0.83,0.33
136,1880,28,1,32,0.32,0.32,0.0,0.71,0.05
147,156,10,2,47,0.32,0.48,0.04,0.74,0.93
3,2182,11,6,94,0.32,0.24,0.03,0.41,0.1
7,905,16,1,28,0.32,0.4,0.04,0.1,0.11
47,1587,12,3,43,0.32,0.4,0.08,0.09,0.49
66,974,12,6,124,0.32,0.16,0.09,0.74,0.2
144,659,25,5,146,0.32,0.24,0.01,0.78,0.94
4,1453,27,6,71,0.32,0.08,0.02,0.73,0.11
139,646,21,5,109,0.32,0.24,0.02,0.95,0.31
146,1892,25,6,146,0.32,0.16,0.01,0.65,0.32
28,2716,6,1,128,0.32,0.16,0.05,0.64,0.14
121,2595,10,4,29,0.32,0.24,0.01,0.2,0.1
16,668,29,5,33,0.32,0.32,0.06,0.81,0.12
10,2270,23,2,69,0.32,0.32,0.05,0.3,0.12
149,2014,24,5,38,0.32,0.16,0.04,0.27,0.33
123,2543,25,5,78,0.32,0.16,0.02,0.02,0.29
125,2257,20,1,36,0.32,0.24,0.03,0.85,0.29
149,1357,10,4,98,0.32,0.08,0.06,0.76,0.63
129,2427,16,2,142,0.32,0.24,0.04,0.85,0.3
23,2712,21,6,53,0.32,0.24,0.06,0.64,0.14
145,1492,29,6,115,0.32,0.16,0.03,0.23,0.32
77,665,19,6,80,0.32,0.24,0.08,0.52,0.22
21,1098,17,3,116,0.32,0.32,0.07,0.67,0.24
6,1192,12,2,24,0.32,0.4,0.05,0.36,0.11
126,2193,25,2,116,0.32,0.16,0.0,0.41,0.29
119,1918,14,3,119,0.32,0.24,0.01,0.16,0.28
147,1914,11,6,139,0.32,0.32,0.03,0.58,0.33
2,672,8,5,40,0.32,0.32,0.03,0.38,0.1
149,1403,6,6,15,0.32,0.4,0.06,0.82,0.35
15,1151,10,1,144,0.32,0.32,0.04,0.09,0.12
65,380,13,5,104,0.32,0.24,0.1,0.89,0.2
8,391,19,5,71,0.32,0.08,0.03,0.51,0.11
10,1348,24,5,20,0.32,0.08,0.04,0.19,0.74
22,581,8,5,146,0.32,0.52,0.03,0.63,0.13
27,1108,11,1,136,0.32,0.4,0.09,0.98,0.14
134,161,8,3,77,0.32,0.16,0.01,0.13,0.31
131,2706,12,1,66,0.32,0.16,0.03,0.63,0.3
103,2363,26,2,62,0.32,0.32,0.03,0.13,0.26
88,2251,5,3,149,0.32,0.32,0.16,0.35,0.24
45,2284,7,1,57,0.32,0.24,0.09,0.14,0.17
61,346,6,1,70,0.32,0.4,0.11,0.16,0.19
31,2789,5,4,57,0.32,0.32,0.05,0.28,0.15
138,791,7,4,137,0.32,0.24,0.05,0.87,0.31
142,2704,30,1,67,0.32,0.32,0.04,0.43,0.64
133,1388,11,3,145,0.32,0.16,0.03,0.75,0.3
61,824,21,2,66,0.32,0.16,0.1,0.27,0.19
137,1541,12,5,106,0.32,0.16,0.04,0.22,0.31
148,2054,28,1,46,0.32,0.16,0.04,0.35,0.55
130,2911,6,1,140,0.32,0.16,0.03,0.2,0.68
137,142,27,6,116,0.32,0.32,0.03,0.56,0.18
149,779,19,3,57,0.32,0.24,0.03,0.67,0.33
130,887,5,2,61,0.32,0.16,0.0,0.01,0.3
124,142,15,6,137,0.32,0.16,0.02,0.2,0.29
3,2373,28,5,66,0.32,0.16,0.03,0.79,0.07
0,1502,14,2,104,0.32,0.16,0.03,0.75,0.5
136,716,9,3,142,0.32,0.16,0.02,0.82,0.31
144,2464,6,1,13,0.32,0.24,0.01,0.6,0.32
12,256,16,1,26,0.32,0.32,0.03,0.4,0.67
5,2646,29,5,22,0.32,0.16,0.03,0.77,0.33
141,1942,26,1,31,0.32,0.16,0.04,0.41,0.32
58,185,10,3,22,0.32,0.16,0.11,0.78,0.19
51,120,22,4,73,0.32,0.48,0.11,0.16,0.18
13,1358,15,5,147,0.32,0.48,0.1,0.79,0.12
6,1630,27,6,19,0.32,0.32,0.06,0.69,0.11
138,825,21,4,142,0.32,0.08,0.02,0.36,0.31
18,2281,12,4,99,0.32,0.16,0.05,0.0,0.13
26,1090,11,5,108,0.32,0.4,0.04,0.42,0.14
133,1967,5,5,59,0.32,0.24,-0.0,0.22,0.3
16,1216,13,5,116,0.32,0.52,0.06,0.19,0.12
9,796,28,3,103,0.32,0.4,0.04,0.45,0.27
9,2955,13,5,112,0.32,0.16,0.04,0.67,0.17
32,1261,10,5,105,0.32,0.4,0.06,0.67,0.15
0,2900,10,6,101,0.32,0.16,0.07,0.18,0.5
0,502,7,6,97,0.32,0.24,0.03,0.79,0.5
14,478,16,2,135,0.32,0.24,0.01,0.6,0.12
34,1467,8,5,122,0.32,0.08,0.07,0.57,0.15
66,320,7,3,66,0.32,0.48,0.11,0.71,0.2
2,587,12,3,61,0.32,0.32,0.04,0.5,0.1
17,1997,24,4,74,0.32,0.08,0.05,0.84,0.13
50,1769,29,4,49,0.32,0.68,0.07,0.11,0.18
45,982,5,3,24,0.32,0.24,0.09,0.74,0.17
29,1752,10,3,36,0.32,0.52,0.04,0.73,0.14
145,2839,14,3,73,0.32,0.16,0.02,0.58,0.32
133,758,6,2,34,0.32,0.16,0.01,0.87,0.4
1,2790,30,4,27,0.32,0.24,0.05,0.15,0.1
30,598,9,6,77,0.32,0.32,0.08,0.22,0.15
144,301,20,3,144,0.32,0.16,0.01,0.38,0.32
10,1955,14,5,140,0.32,0.08,0.03,0.8,0.12
11,2592,14,5,28,0.32,0.16,0.05,0.99,0.12
221,287,5,2,52,0.32,0.08,0.34,0.71,0.44
54,1321,12,2,12,0.32,0.24,0.09,0.81,0.9
149,1543,20,5,56,0.32,0.4,0.02,0.97,0.33
1,2649,9,3,48,0.32,0.24,0.03,0.39,0.1
3,677,25,2,69,0.32,0.48,0.04,0.92,0.1
23,1809,23,5,111,0.32,0.48,0.06,0.33,0.14
21,1657,21,1,114,0.32,0.16,0.03,0.08,0.13
149,1081,20,4,119,0.32,0.16,0.24,0.26,0.3
137,885,17,6,111,0.32,0.16,0.01,0.72,0.31
103,2927,26,1,127,0.32,0.4,0.21,0.63,0.29
18,1085,11,2,45,0.32,0.16,0.06,0.59,0.13
43,407,12,6,14,0.32,0.92,0.1,0.26,0.17
99,1009,18,5,93,0.32,0.32,-0.0,0.34,0.66
40,461,24,3,80,0.32,0.32,0.1,0.92,0.16
19,1319,16,1,39,0.32,0.16,0.04,0.04,0.13
